symbol,code,market,name,industry_code,industry_name,trade_group,parent_group,major_bucket,subindustry,role,leader_eligible,strategy_sector,strategy_group,strategy_size_group,liquidity_size_bucket,liquidity_rank,liquidity_percentile,amount_120d_median,amount_120d_mean,traded_days_120d,latest_price_date,latest_close,latest_volume,strategy_group_source,strategy_group_confidence,strategy_group_review_needed,classification_source,source_confidence,subindustry_source,true_market_cap_rank,true_market_cap_bucket,true_market_cap_percentile,market_cap_ntd,market_cap_ntd_billion,shares_outstanding,source_date_price,market_cap_source
4171.TWO,4171,TPEX,瑞基,33,農業科技,agri_tech,agriculture,other,agritech,member,False,agriculture,agri_tech,agri_tech__small,small,1693,0.250996015936255,2467978.2,4377782.491494926,120.0,2026-06-18,17.299999237060547,123943.0,trade_group_exact,high,False,legacy_subindustry_rule,medium,official_code_fallback,1814.0,cap_1001_plus,0.0815602836879432,1016005707.5,1.0160057075,58057469.0,2026-06-10,TPEX daily market value shares * close; API MarketValue retained for audit
6578.TWO,6578,TPEX,達邦蛋白,33,農業科技,agri_tech,agriculture,other,agritech,member,False,agriculture,agri_tech,agri_tech__small,small,1801,0.2031872509960159,1688285.0242099762,2071433.4749364213,120.0,2026-06-18,16.450000762939453,64000.0,trade_group_exact,high,False,legacy_subindustry_rule,medium,official_code_fallback,1737.0,cap_1001_plus,0.1205673758865247,1226609412.05,1.22660941205,71941901.0,2026-06-10,TPEX daily market value shares * close; API MarketValue retained for audit
6508.TWO,6508,TPEX,惠光,33,農業科技,agri_tech,agriculture,other,agritech,member,False,agriculture,agri_tech,agri_tech__small,small,1884,0.1664453297919433,1243861.1500377655,3031469.047273159,120.0,2026-06-18,23.950000762939453,59317.0,trade_group_exact,high,False,legacy_subindustry_rule,medium,official_code_fallback,1523.0,cap_1001_plus,0.2289766970618034,2029336360.8,2.0293363608,86538864.0,2026-06-10,TPEX daily market value shares * close; API MarketValue retained for audit
1240.TWO,1240,TPEX,茂生農經,33,農業科技,agri_tech,agriculture,other,agritech,member,False,agriculture,agri_tech,agri_tech__small,small,1927,0.147410358565737,1064494.800064087,1171768.8856783232,120.0,2026-06-18,58.400001525878906,10790.0,trade_group_exact,high,False,legacy_subindustry_rule,medium,official_code_fallback,1395.0,cap_1001_plus,0.2938196555217831,2552207922.1,2.5522079221,44232373.0,2026-06-10,TPEX daily market value shares * close; API MarketValue retained for audit
6669.TW,6669,TWSE,緯穎,25,電腦及週邊設備業,ai_server_odm,ai_hardware,computer,computer_server_nb,leader,True,ai_hardware,ai_server,ai_server__large,large,24,0.9898185037627268,6185672192.5,7174194194.0,120.0,2026-06-18,1710.0,4638384.0,trade_group_exact,high,False,exact_symbol,high,exact_symbol,18.0,cap_001_050,0.991388044579534,941283606415.0,941.283606415,185840791.0,2026-06-10,TWSE basic issued common shares * TWSE latest close
3231.TW,3231,TWSE,緯創,25,電腦及週邊設備業,ai_server_odm,ai_hardware,computer,computer_server_nb,leader,True,ai_hardware,ai_server,ai_server__large,large,33,0.9858344400177068,4878363853.75,5687933769.941667,120.0,2026-06-18,161.5,44754406.0,trade_group_exact,high,False,exact_symbol,high,exact_symbol,37.0,cap_001_050,0.9817629179331308,502505135500.0,502.5051355,3180412250.0,2026-06-10,TWSE basic issued common shares * TWSE latest close
2382.TW,2382,TWSE,廣達,25,電腦及週邊設備業,ai_server_odm,ai_hardware,computer,computer_server_nb,core_leader,True,ai_hardware,ai_server,ai_server__large,large,36,0.984506418769367,4506206364.0,5192525130.079166,120.0,2026-06-18,376.0,22067558.0,trade_group_exact,high,False,exact_symbol,high,exact_symbol,10.0,cap_001_050,0.9954407294832828,1469729737876.0,1469.729737876,3862627432.0,2026-06-10,TWSE basic issued common shares * TWSE latest close
2376.TW,2376,TWSE,技嘉,25,電腦及週邊設備業,ai_server_odm,ai_hardware,computer,computer_server_nb,member,False,ai_hardware,ai_server,ai_server__mid_large,mid_large,115,0.949535192563081,1161051393.0,1396856417.8958333,120.0,2026-06-18,344.0,8324052.0,trade_group_exact,high,False,exact_symbol,high,exact_symbol,79.0,cap_051_100,0.96048632218845,230776721227.0,230.776721227,669888886.0,2026-06-10,TWSE basic issued common shares * TWSE latest close
3706.TW,3706,TWSE,神達,25,電腦及週邊設備業,ai_server_odm,ai_hardware,computer,computer_server_nb,member,False,ai_hardware,ai_server,ai_server__mid_large,mid_large,120,0.9473218238158476,1113520163.158882,1735064447.2913043,120.0,2026-06-18,86.9000015258789,9944792.0,trade_group_exact,high,False,legacy_subindustry_rule,medium,exact_symbol,126.0,cap_101_250,0.936676798378926,114272993494.8,114.2729934948,1327212468.0,2026-06-10,TWSE basic issued common shares * TWSE latest close
2356.TW,2356,TWSE,英業達,25,電腦及週邊設備業,ai_server_odm,ai_hardware,computer,computer_server_nb,member,False,ai_hardware,ai_server,ai_server__mid_large,mid_large,164,0.9278441788401948,696176334.0610008,967574486.3934568,120.0,2026-06-18,67.69999694824219,37376386.0,trade_group_exact,high,False,exact_symbol,high,exact_symbol,76.0,cap_051_100,0.9620060790273556,237490849369.2,237.4908493692,3587475066.0,2026-06-10,TWSE basic issued common shares * TWSE latest close
