formal_pool_rank,rank,symbol,name,scan_theme,trade_group,parent_group,scan_rank_60d_dollar_volume,median_dollar_volume_60d,in_execution_pool,strategy_pool_eligible,auto_buy,scan_score,mom20_pct,mom63_skip5_pct,mom126_skip5_pct,dollar_volume20,dollar_accel20_60_pct,obs,admission_stage,admission_rule,strategy_action,note
1,1,SNDK,Sandisk Corporation - Common Stock When-Issued,memory_storage,us_unclassified_stock,us_unclassified,4.0,14216017969.226074,False,True,False,2.939398198017032,56.88730884657341,204.0480248693453,757.3361670487621,18802586144.073486,14.06705078992574,338,dynamic_formal_candidate_pool,"Top800 scan universe; theme promotable; obs>=252; dollar_volume20>=20m; scan_score>=0.20; mom63_skip5>=0; ranked by scan_score,mom63,liquidity_rank; max99",eligible_for_next_dynamic_strategy_training_not_current_buy_order,This is the rolling formal candidate pool requested by the user. New momentum names can enter here and weak names can fall out. It does not change live target positions until a clean dynamic strategy uses it.
2,2,MRVL,"Marvell Technology, Inc. - Common Stock",ai_compute,asic_network_chip,us_semiconductor,17.0,3639722033.9199066,True,True,False,1.8985204924764392,66.26337339309964,220.3496145910615,216.14464117286528,15362374140.100098,234.05887709830012,420,dynamic_formal_candidate_pool,"Top800 scan universe; theme promotable; obs>=252; dollar_volume20>=20m; scan_score>=0.20; mom63_skip5>=0; ranked by scan_score,mom63,liquidity_rank; max99",eligible_for_next_dynamic_strategy_training_not_current_buy_order,This is the rolling formal candidate pool requested by the user. New momentum names can enter here and weak names can fall out. It does not change live target positions until a clean dynamic strategy uses it.
3,3,AEHR,Aehr Test Systems - Common Stock,semi_equipment,us_unclassified_stock,us_unclassified,484.0,202559046.52023315,False,True,False,1.644513984068738,40.02915737160395,173.65204410012765,320.1875891347094,184779514.8006439,-17.447501961817768,420,dynamic_formal_candidate_pool,"Top800 scan universe; theme promotable; obs>=252; dollar_volume20>=20m; scan_score>=0.20; mom63_skip5>=0; ranked by scan_score,mom63,liquidity_rank; max99",eligible_for_next_dynamic_strategy_training_not_current_buy_order,This is the rolling formal candidate pool requested by the user. New momentum names can enter here and weak names can fall out. It does not change live target positions until a clean dynamic strategy uses it.
4,4,AXTI,AXT Inc - Common Stock,compound_semiconductor,us_unclassified_stock,us_unclassified,100.0,881560364.9177551,False,True,False,1.5940509541011194,-19.156869131634732,89.04343505941108,490.50799540527873,1006740677.287674,5.399246083842213,420,dynamic_formal_candidate_pool,"Top800 scan universe; theme promotable; obs>=252; dollar_volume20>=20m; scan_score>=0.20; mom63_skip5>=0; ranked by scan_score,mom63,liquidity_rank; max99",eligible_for_next_dynamic_strategy_training_not_current_buy_order,This is the rolling formal candidate pool requested by the user. New momentum names can enter here and weak names can fall out. It does not change live target positions until a clean dynamic strategy uses it.
5,5,MU,"Micron Technology, Inc. - Common Stock",memory_storage,memory_dram_nand,us_semiconductor,3.0,21397682386.9812,True,True,False,1.561965197486796,54.91878377616668,145.7847223880278,294.85415095057635,50146326969.50684,58.96100181189663,420,dynamic_formal_candidate_pool,"Top800 scan universe; theme promotable; obs>=252; dollar_volume20>=20m; scan_score>=0.20; mom63_skip5>=0; ranked by scan_score,mom63,liquidity_rank; max99",eligible_for_next_dynamic_strategy_training_not_current_buy_order,This is the rolling formal candidate pool requested by the user. New momentum names can enter here and weak names can fall out. It does not change live target positions until a clean dynamic strategy uses it.
6,6,DELL,Dell Technologies Inc. Class C Common Stock,server_network,ai_server_hardware,us_ai_hardware,69.0,1191660077.4597168,True,True,False,1.4843987252464623,68.56708201795654,161.9313048328516,185.32703970922395,3834325567.666626,155.2560901896572,420,dynamic_formal_candidate_pool,"Top800 scan universe; theme promotable; obs>=252; dollar_volume20>=20m; scan_score>=0.20; mom63_skip5>=0; ranked by scan_score,mom63,liquidity_rank; max99",eligible_for_next_dynamic_strategy_training_not_current_buy_order,This is the rolling formal candidate pool requested by the user. New momentum names can enter here and weak names can fall out. It does not change live target positions until a clean dynamic strategy uses it.
7,7,AAOI,"Applied Optoelectronics, Inc. - Common Stock",optical_communication,us_unclassified_stock,us_unclassified,54.0,1538543416.442871,False,True,False,1.479371056152286,-2.0634082758481886,62.70834806189389,468.7294389475453,2367848359.1781616,29.48670905659634,420,dynamic_formal_candidate_pool,"Top800 scan universe; theme promotable; obs>=252; dollar_volume20>=20m; scan_score>=0.20; mom63_skip5>=0; ranked by scan_score,mom63,liquidity_rank; max99",eligible_for_next_dynamic_strategy_training_not_current_buy_order,This is the rolling formal candidate pool requested by the user. New momentum names can enter here and weak names can fall out. It does not change live target positions until a clean dynamic strategy uses it.
8,9,DOCN,"DigitalOcean Holdings, Inc. Common Stock",cloud_infra,us_unclassified_stock,us_unclassified,266.0,372093865.1031494,False,True,False,1.383940924863062,8.21935145333985,163.893078795906,251.46821341435347,447935845.9228516,1.3128338389214012,420,dynamic_formal_candidate_pool,"Top800 scan universe; theme promotable; obs>=252; dollar_volume20>=20m; scan_score>=0.20; mom63_skip5>=0; ranked by scan_score,mom63,liquidity_rank; max99",eligible_for_next_dynamic_strategy_training_not_current_buy_order,This is the rolling formal candidate pool requested by the user. New momentum names can enter here and weak names can fall out. It does not change live target positions until a clean dynamic strategy uses it.
9,10,ALAB,"Astera Labs, Inc. - Common Stock",ai_data_center_connectivity,us_unclassified_stock,us_unclassified,101.0,880360816.1865234,False,True,False,1.3676786030149184,45.07791546733093,206.4803974513623,119.93655565809463,1992820831.14624,48.519594403889485,420,dynamic_formal_candidate_pool,"Top800 scan universe; theme promotable; obs>=252; dollar_volume20>=20m; scan_score>=0.20; mom63_skip5>=0; ranked by scan_score,mom63,liquidity_rank; max99",eligible_for_next_dynamic_strategy_training_not_current_buy_order,This is the rolling formal candidate pool requested by the user. New momentum names can enter here and weak names can fall out. It does not change live target positions until a clean dynamic strategy uses it.
10,11,STX,Seagate Technology Holdings PLC - Ordinary Shares (Ireland),memory_storage,storage_hdd_ssd,us_semiconductor,38.0,1870515419.140625,True,True,False,1.2215368794148682,42.49403784363308,132.52695913599973,208.23936620026603,2849252490.927124,19.579072114938167,420,dynamic_formal_candidate_pool,"Top800 scan universe; theme promotable; obs>=252; dollar_volume20>=20m; scan_score>=0.20; mom63_skip5>=0; ranked by scan_score,mom63,liquidity_rank; max99",eligible_for_next_dynamic_strategy_training_not_current_buy_order,This is the rolling formal candidate pool requested by the user. New momentum names can enter here and weak names can fall out. It does not change live target positions until a clean dynamic strategy uses it.
11,12,INTC,Intel Corporation - Common Stock,semi_foundry_idm,semi_foundry_idm,us_semiconductor,12.0,7252457155.057716,True,True,False,1.2176738935647915,12.634504475759712,158.47513609828212,188.7901211962288,14183130573.070908,7.29146918043051,420,dynamic_formal_candidate_pool,"Top800 scan universe; theme promotable; obs>=252; dollar_volume20>=20m; scan_score>=0.20; mom63_skip5>=0; ranked by scan_score,mom63,liquidity_rank; max99",eligible_for_next_dynamic_strategy_training_not_current_buy_order,This is the rolling formal candidate pool requested by the user. New momentum names can enter here and weak names can fall out. It does not change live target positions until a clean dynamic strategy uses it.
12,13,STM,STMicroelectronics N.V. Common Stock,power_semiconductor,us_unclassified_stock,us_unclassified,230.0,438953602.0374298,False,True,False,1.2043178325218125,20.73001543386672,135.68805519136146,203.0458275888935,965943899.887085,44.64698432071848,420,dynamic_formal_candidate_pool,"Top800 scan universe; theme promotable; obs>=252; dollar_volume20>=20m; scan_score>=0.20; mom63_skip5>=0; ranked by scan_score,mom63,liquidity_rank; max99",eligible_for_next_dynamic_strategy_training_not_current_buy_order,This is the rolling formal candidate pool requested by the user. New momentum names can enter here and weak names can fall out. It does not change live target positions until a clean dynamic strategy uses it.
