rank,symbol,name,scan_theme,trade_group,parent_group,in_execution_pool,execution_theme,scan_rank_60d_dollar_volume,median_dollar_volume_60d,eligible,scan_score,mom20_pct,mom63_skip5_pct,mom126_skip5_pct,dollar_volume20,dollar_accel20_60_pct,obs,eligible_bool,in_execution_pool_bool,admission_stage,auto_buy,clean_for_formal_strategy,validation_required,strategy_action,admission_rule,promotion_note
1,SNDK,Sandisk Corporation - Common Stock When-Issued,memory_storage,us_unclassified_stock,us_unclassified,False,,4.0,14216017969.226074,True,2.939398198017032,56.88730884657341,204.0480248693453,757.3361670487621,18802586144.073486,14.06705078992574,338,True,False,watch_candidate_requires_clean_validation,False,False,True,watch_only_not_buy,"scan_score>=0.50,mom63>=40,dollar_volume20>=10m,obs>=126,theme_promotable,outside_execution_pool","Selected from the latest Top800 scan output. This is a radar upgrade candidate, not a clean train-only rule or a formal buy order."
3,AEHR,Aehr Test Systems - Common Stock,semi_equipment,us_unclassified_stock,us_unclassified,False,,484.0,202559046.52023315,True,1.644513984068738,40.02915737160395,173.65204410012765,320.1875891347094,184779514.8006439,-17.447501961817768,420,True,False,watch_candidate_requires_clean_validation,False,False,True,watch_only_not_buy,"scan_score>=0.50,mom63>=40,dollar_volume20>=10m,obs>=126,theme_promotable,outside_execution_pool","Selected from the latest Top800 scan output. This is a radar upgrade candidate, not a clean train-only rule or a formal buy order."
4,AXTI,AXT Inc - Common Stock,compound_semiconductor,us_unclassified_stock,us_unclassified,False,,100.0,881560364.9177551,True,1.5940509541011194,-19.156869131634732,89.04343505941108,490.50799540527873,1006740677.287674,5.399246083842213,420,True,False,watch_candidate_requires_clean_validation,False,False,True,watch_only_not_buy,"scan_score>=0.50,mom63>=40,dollar_volume20>=10m,obs>=126,theme_promotable,outside_execution_pool","Selected from the latest Top800 scan output. This is a radar upgrade candidate, not a clean train-only rule or a formal buy order."
7,AAOI,"Applied Optoelectronics, Inc. - Common Stock",optical_communication,us_unclassified_stock,us_unclassified,False,,54.0,1538543416.442871,True,1.479371056152286,-2.0634082758481886,62.70834806189389,468.7294389475453,2367848359.1781616,29.48670905659634,420,True,False,watch_candidate_requires_clean_validation,False,False,True,watch_only_not_buy,"scan_score>=0.50,mom63>=40,dollar_volume20>=10m,obs>=126,theme_promotable,outside_execution_pool","Selected from the latest Top800 scan output. This is a radar upgrade candidate, not a clean train-only rule or a formal buy order."
9,DOCN,"DigitalOcean Holdings, Inc. Common Stock",cloud_infra,us_unclassified_stock,us_unclassified,False,,266.0,372093865.1031494,True,1.383940924863062,8.21935145333985,163.893078795906,251.46821341435347,447935845.9228516,1.3128338389214012,420,True,False,watch_candidate_requires_clean_validation,False,False,True,watch_only_not_buy,"scan_score>=0.50,mom63>=40,dollar_volume20>=10m,obs>=126,theme_promotable,outside_execution_pool","Selected from the latest Top800 scan output. This is a radar upgrade candidate, not a clean train-only rule or a formal buy order."
10,ALAB,"Astera Labs, Inc. - Common Stock",ai_data_center_connectivity,us_unclassified_stock,us_unclassified,False,,101.0,880360816.1865234,True,1.3676786030149184,45.07791546733093,206.4803974513623,119.93655565809463,1992820831.14624,48.519594403889485,420,True,False,watch_candidate_requires_clean_validation,False,False,True,watch_only_not_buy,"scan_score>=0.50,mom63>=40,dollar_volume20>=10m,obs>=126,theme_promotable,outside_execution_pool","Selected from the latest Top800 scan output. This is a radar upgrade candidate, not a clean train-only rule or a formal buy order."
13,STM,STMicroelectronics N.V. Common Stock,power_semiconductor,us_unclassified_stock,us_unclassified,False,,230.0,438953602.0374298,True,1.2043178325218125,20.73001543386672,135.68805519136146,203.0458275888935,965943899.887085,44.64698432071848,420,True,False,watch_candidate_requires_clean_validation,False,False,True,watch_only_not_buy,"scan_score>=0.50,mom63>=40,dollar_volume20>=10m,obs>=126,theme_promotable,outside_execution_pool","Selected from the latest Top800 scan output. This is a radar upgrade candidate, not a clean train-only rule or a formal buy order."
18,FLEX,Flex Ltd. - Ordinary Shares,electronics_manufacturing,us_unclassified_stock,us_unclassified,False,,337.0,295275706.10141754,True,1.017827712007225,12.23387759671759,140.11059609014615,121.88321969804971,772446023.110199,58.154225163007744,420,True,False,watch_candidate_requires_clean_validation,False,False,True,watch_only_not_buy,"scan_score>=0.50,mom63>=40,dollar_volume20>=10m,obs>=126,theme_promotable,outside_execution_pool","Selected from the latest Top800 scan output. This is a radar upgrade candidate, not a clean train-only rule or a formal buy order."
20,NBIS,Nebius Group N.V. - Class A Ordinary Shares,cloud_ai_infra,us_unclassified_stock,us_unclassified,False,,29.0,2256853697.172928,True,0.9462204604755132,49.45782061035791,105.70159534423338,130.51550363181642,3931336918.917084,45.358881126206384,416,True,False,watch_candidate_requires_clean_validation,False,False,True,watch_only_not_buy,"scan_score>=0.50,mom63>=40,dollar_volume20>=10m,obs>=126,theme_promotable,outside_execution_pool","Selected from the latest Top800 scan output. This is a radar upgrade candidate, not a clean train-only rule or a formal buy order."
23,NVTS,Navitas Semiconductor Corporation - Common Stock,power_semiconductor,us_unclassified_stock,us_unclassified,False,,240.0,423525182.6161861,True,0.9302531132881718,4.4802118177464045,122.54509121446132,142.20282333355038,690803369.5964813,14.33272085372721,420,True,False,watch_candidate_requires_clean_validation,False,False,True,watch_only_not_buy,"scan_score>=0.50,mom63>=40,dollar_volume20>=10m,obs>=126,theme_promotable,outside_execution_pool","Selected from the latest Top800 scan output. This is a radar upgrade candidate, not a clean train-only rule or a formal buy order."
25,CRDO,Credo Technology Group Holding Ltd - Ordinary Shares,ai_data_center_connectivity,us_unclassified_stock,us_unclassified,False,,94.0,932664772.3220824,True,0.9156564770436784,48.55721549858709,137.3039441514916,55.47596465093356,2067931090.5975344,61.98438573745808,420,True,False,watch_candidate_requires_clean_validation,False,False,True,watch_only_not_buy,"scan_score>=0.50,mom63>=40,dollar_volume20>=10m,obs>=126,theme_promotable,outside_execution_pool","Selected from the latest Top800 scan output. This is a radar upgrade candidate, not a clean train-only rule or a formal buy order."
50,LITE,Lumentum Holdings Inc. - Common Stock,optical_communication,us_unclassified_stock,us_unclassified,False,,15.0,4830532777.377319,True,0.5684464381788965,-2.081630187859917,44.39286274376934,146.88204146369537,5294265550.57373,5.636712548415801,420,True,False,watch_candidate_requires_clean_validation,False,False,True,watch_only_not_buy,"scan_score>=0.50,mom63>=40,dollar_volume20>=10m,obs>=126,theme_promotable,outside_execution_pool","Selected from the latest Top800 scan output. This is a radar upgrade candidate, not a clean train-only rule or a formal buy order."
