date,signal_date,score_preset,mode,selected,top_score,fallback,component_weights
2020-06-19,2020-06-19,TW_TOP1_TOP2_SWITCH_H46_TH020_CLEAN,top1_top2_switch_h46_th020,DEFENSE_040838__TOP2,,DEFENSE_040838__TOP2,DEFENSE_040838__TOP2:1.000000
2020-08-26,2020-08-25,TW_TOP1_TOP2_SWITCH_H46_TH020_CLEAN,top1_top2_switch_h46_th020,DEFENSE_040838__TOP2,,DEFENSE_040838__TOP2,DEFENSE_040838__TOP2:1.000000
2020-11-03,2020-11-02,TW_TOP1_TOP2_SWITCH_H46_TH020_CLEAN,top1_top2_switch_h46_th020,DEFENSE_040838__TOP2,,DEFENSE_040838__TOP2,DEFENSE_040838__TOP2:1.000000
2021-01-07,2021-01-06,TW_TOP1_TOP2_SWITCH_H46_TH020_CLEAN,top1_top2_switch_h46_th020,DEFENSE_040838__TOP2,0.05,DEFENSE_040838__TOP2,DEFENSE_040838__TOP2:1.000000
2021-03-24,2021-03-23,TW_TOP1_TOP2_SWITCH_H46_TH020_CLEAN,top1_top2_switch_h46_th020,DEFENSE_040838__TOP2,0.05,DEFENSE_040838__TOP2,DEFENSE_040838__TOP2:1.000000
2021-06-02,2021-06-01,TW_TOP1_TOP2_SWITCH_H46_TH020_CLEAN,top1_top2_switch_h46_th020,DEFENSE_040838__TOP2,0.05,DEFENSE_040838__TOP2,DEFENSE_040838__TOP2:1.000000
2021-08-06,2021-08-05,TW_TOP1_TOP2_SWITCH_H46_TH020_CLEAN,top1_top2_switch_h46_th020,DEFENSE_040838__TOP2,0.05,DEFENSE_040838__TOP2,DEFENSE_040838__TOP2:1.000000
2021-10-14,2021-10-13,TW_TOP1_TOP2_SWITCH_H46_TH020_CLEAN,top1_top2_switch_h46_th020,DEFENSE_040838__TOP2,0.05,DEFENSE_040838__TOP2,DEFENSE_040838__TOP2:1.000000
2021-12-17,2021-12-16,TW_TOP1_TOP2_SWITCH_H46_TH020_CLEAN,top1_top2_switch_h46_th020,DEFENSE_040838__TOP2,0.05,DEFENSE_040838__TOP2,DEFENSE_040838__TOP2:1.000000
2024-09-13,2024-09-12,TW_TOP1_TOP2_SWITCH_H46_TH020_CLEAN,top1_top2_switch_h46_th020,DEFENSE_040838__TOP2,0.05,DEFENSE_040838__TOP2,DEFENSE_040838__TOP2:1.000000
2024-11-25,2024-11-22,TW_TOP1_TOP2_SWITCH_H46_TH020_CLEAN,top1_top2_switch_h46_th020,DEFENSE_040838__TOP2,0.05,DEFENSE_040838__TOP2,DEFENSE_040838__TOP2:1.000000
2025-02-07,2025-02-06,TW_TOP1_TOP2_SWITCH_H46_TH020_CLEAN,top1_top2_switch_h46_th020,DEFENSE_040838__TOP2,0.05,DEFENSE_040838__TOP2,DEFENSE_040838__TOP2:1.000000
2025-04-17,2025-04-16,TW_TOP1_TOP2_SWITCH_H46_TH020_CLEAN,top1_top2_switch_h46_th020,DEFENSE_040838__TOP2,0.05,DEFENSE_040838__TOP2,DEFENSE_040838__TOP2:1.000000
2025-06-24,2025-06-23,TW_TOP1_TOP2_SWITCH_H46_TH020_CLEAN,top1_top2_switch_h46_th020,DEFENSE_040838__TOP2,0.05,DEFENSE_040838__TOP2,DEFENSE_040838__TOP2:1.000000
2025-08-27,2025-08-26,TW_TOP1_TOP2_SWITCH_H46_TH020_CLEAN,top1_top2_switch_h46_th020,DEFENSE_040838__TOP2,0.14088045632793655,DEFENSE_040838__TOP2,DEFENSE_040838__TOP2:1.000000
2025-11-05,2025-11-04,TW_TOP1_TOP2_SWITCH_H46_TH020_CLEAN,top1_top2_switch_h46_th020,DEFENSE_040838__TOP2,0.05438970438401424,DEFENSE_040838__TOP2,DEFENSE_040838__TOP2:1.000000
2026-01-12,2026-01-09,TW_TOP1_TOP2_SWITCH_H46_TH020_CLEAN,top1_top2_switch_h46_th020,DEFENSE_040838__TOP1,0.7328942983922303,DEFENSE_040838__TOP2,DEFENSE_040838__TOP1:1.000000
2026-03-27,2026-03-26,TW_TOP1_TOP2_SWITCH_H46_TH020_CLEAN,top1_top2_switch_h46_th020,DEFENSE_040838__TOP1,0.2707583618369506,DEFENSE_040838__TOP2,DEFENSE_040838__TOP1:1.000000
2026-05-29,2026-05-28,TW_TOP1_TOP2_SWITCH_H46_TH020_CLEAN,top1_top2_switch_h46_th020,DEFENSE_040838__TOP2,0.32483454504772663,DEFENSE_040838__TOP2,DEFENSE_040838__TOP2:1.000000
