rank,component,symbol,name,theme,eligible,selected_today,component_score,final_target_weight,scan_rank_60d_dollar_volume
1,TOP5_R800_N5_COMBO,SNDK,Sandisk Corporation - Common Stock When-Issued,memory_storage,True,True,3.899667332184502,0.25,6.0
2,TOP5_R800_N5_COMBO,ARM,Arm Holdings plc - American Depositary Shares,ai_compute,True,True,2.094062755853483,0.25,34.0
3,TOP5_R800_N5_COMBO,MRVL,"Marvell Technology, Inc. - Common Stock",ai_compute,True,True,1.9799722221805578,0.25,19.0
4,TOP5_R800_N5_COMBO,WDC,Western Digital Corporation - Common Stock,memory_storage,True,True,1.9212444218075362,0.25,24.0
5,TOP5_R800_N5_COMBO,AXTI,AXT Inc - Common Stock,compound_semiconductor,False,False,1.9133719567815768,0.0,95.0
6,TOP5_R800_N5_COMBO,INTC,Intel Corporation - Common Stock,semi_foundry_idm,True,False,1.79398098478378,0.0,9.0
7,TOP5_R800_N5_COMBO,STX,Seagate Technology Holdings PLC - Ordinary Shares (Ireland),memory_storage,True,False,1.7236254116256222,0.0,35.0
8,TOP5_R800_N5_COMBO,DELL,Dell Technologies Inc. Class C Common Stock,server_network,True,False,1.5189033929582454,0.0,64.0
9,TOP5_R800_N5_COMBO,NBIS,Nebius Group N.V. - Class A Ordinary Shares,cloud_ai_infra,True,False,1.4976183831319192,0.0,28.0
10,TOP5_R800_N5_COMBO,ALAB,"Astera Labs, Inc. - Common Stock",ai_data_center_connectivity,True,False,1.4971749428585657,0.0,70.0
11,TOP5_R800_N5_COMBO,NVTS,Navitas Semiconductor Corporation - Common Stock,power_semiconductor,True,False,1.4352093231175618,0.0,163.0
12,TOP5_R800_N5_COMBO,AAOI,"Applied Optoelectronics, Inc. - Common Stock",optical_communication,True,False,1.3805753552633253,0.0,52.0
13,TOP5_R800_N5_COMBO,STM,STMicroelectronics N.V. Common Stock,power_semiconductor,True,False,1.3772004522273176,0.0,150.0
14,TOP5_R800_N5_COMBO,DOCN,"DigitalOcean Holdings, Inc. Common Stock",cloud_infra,True,False,1.3545345323791267,0.0,237.0
15,TOP5_R800_N5_COMBO,AMD,"Advanced Micro Devices, Inc. - Common Stock",ai_compute,True,False,1.1897347076962148,0.0,7.0
16,TOP5_R800_N5_COMBO,CRDO,Credo Technology Group Holding Ltd - Ordinary Shares,ai_data_center_connectivity,True,False,1.0319059240264488,0.0,72.0
17,TOP5_R800_N5_COMBO,FLEX,Flex Ltd. - Ordinary Shares,electronics_manufacturing,True,False,0.9931822547404634,0.0,209.0
18,TOP5_R800_N5_COMBO,GFS,GlobalFoundries Inc. - Ordinary Share,semi_foundry_idm,True,False,0.958900567077785,0.0,442.0
19,TOP5_R800_N5_COMBO,AMAT,"Applied Materials, Inc. - Common Stock",semi_equipment,True,False,0.9291229458834224,0.0,27.0
20,TOP5_R800_N5_COMBO,IRDM,Iridium Communications Inc - Common Stock,space_ev_defense,True,False,0.9087575155096019,0.0,774.0
21,TOP5_R800_N5_COMBO,POWL,"Powell Industries, Inc. - Common Stock",thermal_power,True,False,0.8861321397094672,0.0,630.0
22,TOP5_R800_N5_COMBO,HPE,Hewlett Packard Enterprise Company Common Stock,server_network,True,False,0.8564581083488023,0.0,204.0
23,TOP5_R800_N5_COMBO,LRCX,Lam Research Corporation - Common Stock,semi_equipment,True,False,0.8238941844934672,0.0,29.0
24,TOP5_R800_N5_COMBO,MOD,Modine Manufacturing Company Common Stock,thermal_power,True,False,0.6801111040826954,0.0,382.0
25,TOP5_R800_N5_COMBO,FIX,"Comfort Systems USA, Inc. Common Stock",thermal_power,True,False,0.6076869877952813,0.0,148.0
26,TOP5_R800_N5_COMBO,POET,POET Technologies Inc. - Common Shares,optical_communication,False,False,0.606304365193904,0.0,258.0
27,TOP5_R800_N5_COMBO,AAON,"AAON, Inc. - Common Stock",thermal_power,True,False,0.5713077786919156,0.0,739.0
