date,signal_date,selected_component,top_score
2025-10-13,2025-10-10,LONG_R800_N5_LONG,0.0
2025-10-27,2025-10-24,LONG_R800_N5_LONG,0.0
2025-11-10,2025-11-07,LONG_R800_N5_LONG,0.02657624978590256
2025-11-24,2025-11-21,LONG_R800_N5_LONG,-0.09509728306781938
2025-12-09,2025-12-08,DEFENSE_R300_N3_COMBO,0.10131792304427145
2025-12-23,2025-12-22,LONG_R800_N5_LONG,0.3074008173702718
2026-01-08,2026-01-07,VALMAX_R500_N3_ACCEL60,0.24138454317687408
2026-01-23,2026-01-22,VALMAX_R500_N3_ACCEL60,0.2351223539297671
2026-02-06,2026-02-05,DEFENSE_R300_N3_COMBO,0.2551096715121584
2026-02-23,2026-02-20,DEFENSE_R300_N3_COMBO,0.5594528393207547
2026-03-09,2026-03-06,DEFENSE_R300_N3_COMBO,0.16716678834359525
2026-03-23,2026-03-20,DEFENSE_R300_N3_COMBO,0.3534926973044931
2026-04-07,2026-04-06,DEFENSE_R300_N3_COMBO,0.5155917073919148
2026-04-21,2026-04-20,TOP5_R800_N5_COMBO,0.8501809437448713
2026-05-05,2026-05-04,TOP5_R800_N5_COMBO,1.232801752033771
2026-05-19,2026-05-18,HYPER_R800_N6_ULTRA20,0.9108428707046363
2026-06-03,2026-06-02,TOP5_R800_N5_COMBO,1.0485318350382469
2026-06-17,2026-06-16,TOP5_R800_N5_COMBO,0.7553501447582477
