rank,symbol,name,scan_theme,trade_group,parent_group,in_execution_pool,execution_theme,scan_rank_60d_dollar_volume,median_dollar_volume_60d,eligible,scan_score,mom20_pct,mom63_skip5_pct,mom126_skip5_pct,dollar_volume20,dollar_accel20_60_pct,obs
1,SNDK,Sandisk Corporation - Common Stock When-Issued,memory_storage,us_unclassified_stock,us_unclassified,False,,4.0,14216017969.226074,True,2.939398198017032,56.887308846573404,204.0480248693453,757.3361670487621,18802586144.073486,14.067050789925739,338
2,MRVL,"Marvell Technology, Inc. - Common Stock",ai_compute,asic_network_chip,us_semiconductor,True,ai_compute,17.0,3639722033.9199066,True,1.8985204924764392,66.26337339309964,220.3496145910615,216.14464117286528,15362374140.100098,234.05887709830014,420
3,AEHR,Aehr Test Systems - Common Stock,semi_equipment,us_unclassified_stock,us_unclassified,False,,484.0,202559046.52023315,True,1.644513984068738,40.02915737160395,173.65204410012765,320.1875891347094,184779514.8006439,-17.447501961817768,420
4,AXTI,AXT Inc - Common Stock,compound_semiconductor,us_unclassified_stock,us_unclassified,False,,100.0,881560364.9177551,True,1.5940509541011194,-19.156869131634735,89.04343505941108,490.50799540527873,1006740677.287674,5.399246083842213,420
5,MU,"Micron Technology, Inc. - Common Stock",memory_storage,memory_dram_nand,us_semiconductor,True,memory_storage,3.0,21397682386.9812,True,1.5619651974867959,54.91878377616668,145.7847223880278,294.85415095057635,50146326969.506836,58.96100181189663,420
6,DELL,Dell Technologies Inc. Class C Common Stock,server_network,ai_server_hardware,us_ai_hardware,True,server_network,69.0,1191660077.4597168,True,1.4843987252464625,68.56708201795654,161.9313048328516,185.32703970922393,3834325567.666626,155.25609018965721,420
7,AAOI,"Applied Optoelectronics, Inc. - Common Stock",optical_communication,us_unclassified_stock,us_unclassified,False,,54.0,1538543416.442871,True,1.479371056152286,-2.0634082758481886,62.70834806189389,468.7294389475453,2367848359.1781616,29.48670905659634,420
8,ARM,Arm Holdings plc - American Depositary Shares,ai_compute,semi_eda_ip,us_semiconductor,True,us981a_ai_theme,,,True,1.4793436788824357,71.17593294477795,197.28110043542287,141.12592732115726,4860491023.020935,96.41204273058364,420
9,DOCN,"DigitalOcean Holdings, Inc. Common Stock",cloud_infra,us_unclassified_stock,us_unclassified,False,,266.0,372093865.1031494,True,1.3839409248630619,8.21935145333985,163.893078795906,251.46821341435347,447935845.92285156,1.3128338389214012,420
10,ALAB,"Astera Labs, Inc. - Common Stock",ai_data_center_connectivity,us_unclassified_stock,us_unclassified,False,,101.0,880360816.1865234,True,1.3676786030149184,45.07791546733093,206.4803974513623,119.93655565809465,1992820831.1462402,48.519594403889485,420
