rank,scan_theme,theme_score,member_count,execution_pool_member_count,top_symbols,top_outside_execution_symbols
1,memory_storage,2.093538289603709,4,3,SNDK|MU|STX|WDC,SNDK
2,ai_compute,1.3109314523264324,5,5,MRVL|ARM|AMD|AVGO|NVDA,
3,semi_foundry_idm,1.0369000828121582,3,3,INTC|GFS|TSM,
4,optical_communication,1.006594901376235,3,0,AAOI|LITE|POET,AAOI|LITE|POET
5,server_network,1.0064009035909842,7,7,DELL|HPE|NTAP|CSCO|CIEN|ANET|SMCI,
6,us_unclassified,0.9829633522166829,598,0,UMC|STRL|TTMI|SITM|TSEM|SMTC|ON|VIAV,UMC|STRL|TTMI|SITM|TSEM|SMTC|ON|VIAV
7,semi_equipment,0.7701510143482522,5,4,AEHR|LRCX|AMAT|ASML|KLAC,AEHR
8,thermal_power,0.5936594137423268,14,14,POWL|MOD|FIX|NVT|AAON|VRT|EME|JCI,
9,us981a_ai_theme,0.5168696404728312,15,15,DDOG|FTNT|CRWD|QCOM|CAT|CDNS|HWM|UPS,
10,space_ev_defense,0.5079982260815851,12,11,IRDM|RKLB|PL|ASTS|BA|TSLA|LMT|JOBY,PL
11,grid_engineering,0.3994311019663799,8,8,IESC|ECG|DY|MTZ|GEV|GVA|ACM|PRIM,
12,biotech,0.36523921611367566,11,0,AXSM|WST|JAZZ|MRNA|ARWR|BIIB|VRTX|MDGL,AXSM|WST|JAZZ|MRNA|ARWR|BIIB|VRTX|MDGL
13,energy_oil_gas,0.31914317237914985,37,0,ENPH|SEI|PTEN|AEIS|CVE|SM|BTE|VLO,ENPH|SEI|PTEN|AEIS|CVE|SM|BTE|VLO
14,fin_bank,0.3107623844282155,14,0,TD|RY|FITB|BNY|EWBC|BNS|MTB|CM,TD|RY|FITB|BNY|EWBC|BNS|MTB|CM
15,data_center_reit,0.2221209451364201,4,4,IRM|EQIX|CCI|AMT,
16,pharma_big,0.14570987681246353,4,0,LLY|MRK|ABBV|PFE,LLY|MRK|ABBV|PFE
17,materials_mining,0.13089805855868347,9,0,SOLS|FCX|VMC|APD|MLM|MP|B|CDE,SOLS|FCX|VMC|APD|MLM|MP|B|CDE
18,software_platform,0.05225636950253723,7,7,GOOGL|AMZN|ORCL|MSFT|META|CRM|ADBE,
19,power_generation,0.0005469088757503147,8,8,AEP|SO|NEE|DUK|EXC|VST|NRG|CEG,
20,consumer_brand,-0.0320013506941017,3,0,SBUX|MCD|NKE,SBUX|MCD|NKE
21,medical_device,-0.11424608385764552,3,0,MDT|SYK|ISRG,MDT|SYK|ISRG
